NomeIntesta;idEEFattura;dtIniz;annoComp;meseComp;tipoSpesa;prezzoUnit;quantita;importo
"alessandro";1736;"2023-12-01";2023;"2023-12";"R";0,06;156,00;9,22
"alessandro";1737;"2024-01-01";2024;"2024-01";"PU";0,10;203,00;20,13
"alessandro";1737;"2024-01-01";2024;"2024-01";"PU";0,10;174,00;17,25
"alessandro";1737;"2024-01-01";2024;"2024-01";"S1";0,01;203,00;1,74
"alessandro";1737;"2024-01-01";2024;"2024-01";"S2";0,03;174,00;4,47
"alessandro";1737;"2024-01-01";2024;"2024-01";"P";0,89;4,50;4,03
"alessandro";1737;"2024-01-01";2024;"2024-01";"R";0,06;377,00;22,29
"alessandro";1737;"2024-02-01";2024;"2024-02";"PU";0,09;190,00;16,65
"alessandro";1737;"2024-02-01";2024;"2024-02";"PU";0,09;101,00;8,85
"alessandro";1737;"2024-02-01";2024;"2024-02";"S1";0,01;190,00;1,63
"alessandro";1737;"2024-02-01";2024;"2024-02";"S2";0,03;101,00;2,59
"alessandro";1737;"2024-02-01";2024;"2024-02";"P";0,84;4,50;3,77
"alessandro";1737;"2024-02-01";2024;"2024-02";"R";0,06;110,00;6,50
"alessandro";1738;"2024-03-01";2024;"2024-03";"PU";0,09;203,00;18,04
"alessandro";1738;"2024-03-01";2024;"2024-03";"PU";0,09;145,00;12,88
"alessandro";1738;"2024-03-01";2024;"2024-03";"S1";0,01;203,00;1,74
"alessandro";1738;"2024-03-01";2024;"2024-03";"S2";0,03;145,00;3,72
"alessandro";1738;"2024-03-01";2024;"2024-03";"P";0,89;4,50;4,03
"alessandro";1738;"2024-03-01";2024;"2024-03";"R";0,06;348,00;20,58
"alessandro";1738;"2024-04-01";2024;"2024-04";"PU";0,09;197,00;17,10
"alessandro";1738;"2024-04-01";2024;"2024-04";"PU";0,09;123,00;10,68
"alessandro";1738;"2024-04-01";2024;"2024-04";"S1";0,01;197,00;1,69
"alessandro";1738;"2024-04-01";2024;"2024-04";"S2";0,03;123,00;3,16
"alessandro";1738;"2024-04-01";2024;"2024-04";"P";0,87;4,50;3,90
"alessandro";1738;"2024-04-01";2024;"2024-04";"R";0,06;146,00;8,63
"alessandro";1739;"2024-05-01";2024;"2024-05";"PU";0,09;203,00;19,26
"alessandro";1739;"2024-05-01";2024;"2024-05";"PU";0,09;73,00;6,93
"alessandro";1739;"2024-05-01";2024;"2024-05";"S1";0,01;203,00;1,74
"alessandro";1739;"2024-05-01";2024;"2024-05";"S2";0,03;73,00;1,87
"alessandro";1739;"2024-05-01";2024;"2024-05";"P";0,89;4,50;4,03
"alessandro";1739;"2024-05-01";2024;"2024-05";"R";0,06;276,00;16,32
"alessandro";1739;"2024-06-01";2024;"2024-06";"PU";0,10;197,00;20,32
"alessandro";1739;"2024-06-01";2024;"2024-06";"PU";0,10;77,00;7,94
"alessandro";1739;"2024-06-01";2024;"2024-06";"S1";0,01;197,00;2,31
"alessandro";1739;"2024-06-01";2024;"2024-06";"S2";0,04;77,00;3,16
"alessandro";1739;"2024-06-01";2024;"2024-06";"P";0,87;4,50;3,90
"alessandro";1739;"2024-06-01";2024;"2024-06";"R";0,06;219,00;12,95
"alessandro";1741;"2024-07-01";2024;"2024-07";"PU";0,11;203,00;22,80
"alessandro";1741;"2024-07-01";2024;"2024-07";"PU";0,11;5,00;0,56
"alessandro";1741;"2024-07-01";2024;"2024-07";"S1";0,01;203,00;2,38
"alessandro";1741;"2024-07-01";2024;"2024-07";"S2";0,04;5,00;0,21
"alessandro";1741;"2024-07-01";2024;"2024-07";"P";0,89;4,50;4,03
"alessandro";1741;"2024-07-01";2024;"2024-07";"R";0,06;208,00;12,30
"alessandro";1741;"2024-08-01";2024;"2024-08";"PU";0,13;203,00;26,07
"alessandro";1741;"2024-08-01";2024;"2024-08";"PU";0,13;6,00;0,77
"alessandro";1741;"2024-08-01";2024;"2024-08";"S1";0,01;203,00;2,38
"alessandro";1741;"2024-08-01";2024;"2024-08";"S2";0,04;6,00;0,25
"alessandro";1741;"2024-08-01";2024;"2024-08";"P";0,89;4,50;4,03
"alessandro";1741;"2024-08-01";2024;"2024-08";"R";0,06;209,00;12,36
"alessandro";1742;"2022-07-01";2022;"2022-07";"E1";0,11;204,00;22,81
"alessandro";1742;"2022-07-01";2022;"2022-07";"E2";0,26;72,00;18,42
"alessandro";1742;"2022-07-01";2022;"2022-07";"P";0,90;4,50;4,04
"alessandro";1742;"2022-07-01";2022;"2022-07";"R";0,06;276,00;16,32
"alessandro";1742;"2022-08-01";2022;"2022-08";"E1";0,11;204,00;22,81
"alessandro";1742;"2022-08-01";2022;"2022-08";"E2";0,26;72,00;18,42
"alessandro";1742;"2022-08-01";2022;"2022-08";"P";0,90;4,50;4,04
"alessandro";1742;"2022-08-01";2022;"2022-08";"R";0,06;276,00;16,32
"alessandro";1742;"2022-09-01";2022;"2022-09";"E1";0,11;197,00;22,03
"alessandro";1742;"2022-09-01";2022;"2022-09";"E2";0,26;70,00;17,91
"alessandro";1742;"2022-09-01";2022;"2022-09";"P";0,87;4,50;3,91
"alessandro";1742;"2022-09-01";2022;"2022-09";"R";0,06;267,00;15,79
"alessandro";1742;"2022-10-01";2022;"2022-10";"E1";0,11;204,00;22,81
"alessandro";1742;"2022-10-01";2022;"2022-10";"E2";0,26;72,00;18,42
"alessandro";1742;"2022-10-01";2022;"2022-10";"P";0,90;4,50;4,04
"alessandro";1742;"2022-10-01";2022;"2022-10";"R";0,06;276,00;16,32
"alessandro";1742;"2022-11-01";2022;"2022-11";"E1";0,11;197,00;22,03
"alessandro";1742;"2022-11-01";2022;"2022-11";"E2";0,26;71,00;18,16
"alessandro";1742;"2022-11-01";2022;"2022-11";"P";0,87;4,50;3,91
"alessandro";1742;"2022-11-01";2022;"2022-11";"R";0,06;268,00;15,85
"alessandro";1742;"2022-12-01";2022;"2022-12";"PU";0,29;204,00;60,16
"alessandro";1742;"2022-12-01";2022;"2022-12";"PU";0,29;72,00;21,23
"alessandro";1742;"2022-12-01";2022;"2022-12";"S1";0,01;204,00;1,46
"alessandro";1742;"2022-12-01";2022;"2022-12";"S2";0,02;72,00;1,54
"alessandro";1742;"2022-12-01";2022;"2022-12";"P";0,90;4,50;4,04
"alessandro";1742;"2022-12-01";2022;"2022-12";"R";0,06;130,00;7,69
"alessandro";1742;"2023-01-01";2023;"2023-01";"PU";0,17;204,00;35,60
"alessandro";1742;"2023-01-01";2023;"2023-01";"PU";0,17;73,00;12,74
"alessandro";1742;"2023-01-01";2023;"2023-01";"S1";0,01;204,00;2,08
"alessandro";1742;"2023-01-01";2023;"2023-01";"S2";0,03;73,00;2,23
"alessandro";1742;"2023-01-01";2023;"2023-01";"P";0,90;4,50;4,04
"alessandro";1742;"2023-01-01";2023;"2023-01";"R";0,06;277,00;16,38
"alessandro";1742;"2023-02-01";2023;"2023-02";"PU";0,16;184,00;29,64
"alessandro";1742;"2023-02-01";2023;"2023-02";"PU";0,16;66,00;10,63
"alessandro";1742;"2023-02-01";2023;"2023-02";"S1";0,01;184,00;1,87
"alessandro";1742;"2023-02-01";2023;"2023-02";"S2";0,03;66,00;2,01
"alessandro";1742;"2023-02-01";2023;"2023-02";"P";0,81;4,50;3,65
"alessandro";1742;"2023-02-01";2023;"2023-02";"R";0,06;250,00;14,78
"alessandro";1742;"2023-03-01";2023;"2023-03";"PU";0,14;204,00;27,82
"alessandro";1742;"2023-03-01";2023;"2023-03";"PU";0,14;72,00;9,82
"alessandro";1742;"2023-03-01";2023;"2023-03";"S1";0,01;204,00;2,08
"alessandro";1742;"2023-03-01";2023;"2023-03";"S2";0,03;72,00;2,20
"alessandro";1742;"2023-03-01";2023;"2023-03";"P";0,90;4,50;4,04
"alessandro";1742;"2023-03-01";2023;"2023-03";"R";0,06;276,00;16,32
"alessandro";1742;"2023-04-01";2023;"2023-04";"PU";0,13;197,00;26,59
"alessandro";1742;"2023-04-01";2023;"2023-04";"PU";0,13;121,00;16,33
"alessandro";1742;"2023-04-01";2023;"2023-04";"S1";0,01;197,00;2,00
"alessandro";1742;"2023-04-01";2023;"2023-04";"S2";0,03;121,00;3,69
"alessandro";1742;"2023-04-01";2023;"2023-04";"P";0,87;4,50;3,91
"alessandro";1744;"2024-09-01";2024;"2024-09";"PU";0,12;197,00;23,07
"alessandro";1742;"2023-04-01";2023;"2023-04";"R";0,06;170,00;10,05
"alessandro";1744;"2024-11-01";2024;"2024-11";"PU";0,13;197,00;25,79
"alessandro";1744;"2024-09-01";2024;"2024-09";"PU";0,12;45,00;5,27
"alessandro";1744;"2024-11-01";2024;"2024-11";"PU";0,13;196,00;25,65
"alessandro";1744;"2024-09-01";2024;"2024-09";"S1";0,01;197,00;2,31
"alessandro";1744;"2024-11-01";2024;"2024-11";"S1";0,01;197,00;2,31
"alessandro";1744;"2024-09-01";2024;"2024-09";"S2";0,04;45,00;1,85
"alessandro";1744;"2024-11-01";2024;"2024-11";"S2";0,04;196,00;8,05
"alessandro";1744;"2024-09-01";2024;"2024-09";"P";0,87;4,50;3,90
"alessandro";1744;"2024-11-01";2024;"2024-11";"P";0,87;4,50;3,90
"alessandro";1744;"2024-09-01";2024;"2024-09";"R";0,06;242,00;14,31
"alessandro";1744;"2024-11-01";2024;"2024-11";"R";0,06;393,00;23,24
"alessandro";1744;"2024-10-01";2024;"2024-10";"PU";0,12;203,00;23,69
"alessandro";1744;"2024-12-01";2024;"2024-12";"PU";0,14;203,00;27,42
"alessandro";1744;"2024-10-01";2024;"2024-10";"PU";0,12;166,00;19,37
"alessandro";1744;"2024-12-01";2024;"2024-12";"PU";0,14;244,00;32,95
"alessandro";1744;"2024-10-01";2024;"2024-10";"S1";0,01;203,00;2,38
"alessandro";1744;"2024-12-01";2024;"2024-12";"S1";0,01;203,00;2,38
"alessandro";1744;"2024-10-01";2024;"2024-10";"S2";0,04;166,00;6,81
"alessandro";1744;"2024-12-01";2024;"2024-12";"S2";0,04;244,00;10,02
"alessandro";1744;"2024-10-01";2024;"2024-10";"P";0,89;4,50;4,03
"alessandro";1744;"2024-12-01";2024;"2024-12";"P";0,89;4,50;4,03
"alessandro";1744;"2024-10-01";2024;"2024-10";"R";0,06;338,00;19,99
"alessandro";1745;"2025-01-01";2025;"2025-01";"PU";0,14;204,00;29,18
"alessandro";1745;"2025-01-01";2025;"2025-01";"PU";0,14;192,00;27,46
"alessandro";1745;"2025-01-01";2025;"2025-01";"S1";0,01;204,00;2,39
"alessandro";1745;"2025-01-01";2025;"2025-01";"S2";0,04;192,00;7,88
"alessandro";1745;"2025-01-01";2025;"2025-01";"P";0,90;4,50;4,04
"alessandro";1745;"2025-01-01";2025;"2025-01";"R";0,06;396,00;23,42
"alessandro";1745;"2025-02-01";2025;"2025-02";"PU";0,15;184,00;27,67
"alessandro";1745;"2025-02-01";2025;"2025-02";"PU";0,15;107,00;16,09
"alessandro";1745;"2025-02-01";2025;"2025-02";"S1";0,01;184,00;2,16
"alessandro";1745;"2025-02-01";2025;"2025-02";"S2";0,04;107,00;4,39
"alessandro";1745;"2025-02-01";2025;"2025-02";"P";0,81;4,50;3,65
"alessandro";1760;"2025-02-01";2025;"2025-02";"PU";0,15;184,00;27,67
"alessandro";1760;"2025-02-01";2025;"2025-02";"PU";0,15;101,00;15,19
"alessandro";1760;"2025-02-01";2025;"2025-02";"S1";0,01;184,00;2,16
"alessandro";1760;"2025-02-01";2025;"2025-02";"S2";0,04;101,00;4,15
"alessandro";1760;"2025-02-01";2025;"2025-02";"P";0,81;4,50;3,65
"alessandro";1760;"2025-02-01";2025;"2025-02";"R";0,06;285,00;16,85
"alessandro";1760;"2025-03-01";2025;"2025-03";"PU";0,12;204,00;24,59
"alessandro";1760;"2025-03-01";2025;"2025-03";"PU";0,12;111,00;13,38
"alessandro";1760;"2025-03-01";2025;"2025-03";"S1";0,01;204,00;2,39
